pond_id,treatment,period,doy,GPP,R,NEP,dosat_dailyavg
A,pulsed,PULSE1,188,2.458624776,-6.851070647,-4.392445871,9.337439125
B,pulsed,PULSE1,188,4.917981885,-7.381431148,-2.4634492629999998,45.68742125
C,pulsed,PULSE1,188,7.628121796,-8.08267571,-0.454553914,110.05397864583334
D,reference,PULSE1,188,12.1745141,-15.85170478,-3.677190682,57.734070125
E,reference,PULSE1,188,8.566249073,-8.439224235,0.127024839,132.3075003125
F,reference,PULSE1,188,6.457324121,-3.072024256,3.385299865,130.64416229166667
A,pulsed,PULSE1,189,1.26601069,-4.256548376,-2.990537686,7.480390916666667
B,pulsed,PULSE1,189,5.129301098,-8.709558584,-3.580257486,47.1790714375
C,pulsed,PULSE1,189,4.007777287,-5.040724079,-1.032946793,125.36177616666667
D,reference,PULSE1,189,6.506800875,-8.898722323,-2.391921448,53.435822125
E,reference,PULSE1,189,11.16928432,-14.3503522,-3.181067878,119.75896877083333
F,reference,PULSE1,189,9.081200176,-10.82573505,-1.74453487,126.93574916666667
A,pulsed,PULSE1,190,0.858468033,-4.411923249,-3.553455216,5.0553702708333335
B,pulsed,PULSE1,190,3.85627691,-7.967060527,-4.110783617,40.338346375
C,pulsed,PULSE1,190,3.867900806,-4.392558338,-0.524657531,118.20801924999999
D,reference,PULSE1,190,9.718953904,-11.37786331,-1.658909406,50.793710833333336
E,reference,PULSE1,190,5.888315834,-5.168643428,0.719672405,103.61872127083333
F,reference,PULSE1,190,9.5115889,-7.287078252,2.224510648,114.77391458333334
A,pulsed,PULSE1,191,NA,NA,NA,6.9151267291666665
B,pulsed,PULSE1,191,NA,NA,NA,35.8663115625
C,pulsed,PULSE1,191,4.978236556,-7.732191262,-2.753954706,89.19266541666667
D,reference,PULSE1,191,11.59406843,-16.68901649,-5.094948061,42.494096479166664
E,reference,PULSE1,191,8.479108349,-9.526836931,-1.047728582,99.71942872916667
F,reference,PULSE1,191,7.290730745,-13.68959309,-6.398862348,82.66263172916666
A,pulsed,PULSE1,192,NA,NA,NA,14.55468644680851
B,pulsed,PULSE1,192,NA,NA,NA,38.022024808510636
C,pulsed,PULSE1,192,9.406241784,-13.96358,-4.557338216,66.78739654166667
D,reference,PULSE1,192,7.442712061,-11.2441782,-3.801466136,19.875915770833334
E,reference,PULSE1,192,NA,NA,NA,91.13495906382978
F,reference,PULSE1,192,NA,NA,NA,89.3164289574468
A,pulsed,PULSE1,193,1.705621005,-4.611788486,-2.906167481,21.984320375
B,pulsed,PULSE1,193,1.228885114,-3.144367726,-1.915482612,45.27158908333333
C,pulsed,PULSE1,193,3.259907278,-1.248162881,2.011744397,81.65615691666666
D,reference,PULSE1,193,2.591581853,-4.888466711,-2.296884859,21.9325074375
E,reference,PULSE1,193,2.983373521,-0.193221667,2.790151854,109.52776825
F,reference,PULSE1,193,7.0453308120000004,-8.167330768,-1.121999955,92.47107504166667
