pond_id,doy,GPP,R,NEP
D,221,0.564634386,-4.54751759,-3.982883204
D,222,0.401081236,-3.00780906,-2.606727825
D,223,1.847979846,-4.539876477,-2.691896631
D,224,8.363379639,-8.699130763,-0.335751124
D,225,6.781906133,-8.328975335,-1.547069202
D,226,7.44874026,-7.283113277,0.165626983
D,227,9.202760019,-10.43548678,-1.23272676
D,228,6.91137185,-9.53961837,-2.628246519
D,229,9.138033232,-11.88761564,-2.749582408
D,230,6.70218891,-9.485233827,-2.783044917
D,231,3.080901633,-3.074331482,0.006570151
D,232,7.412661422,-9.582254233,-2.16959281
D,233,8.901461831,-9.097438817,-0.195976986
D,234,8.240294849,-7.081539354,1.158755495
D,235,8.255991023,-12.69443162,-4.438440601
D,236,8.029490095,-6.880810116,1.148679978
D,237,10.94245543,-12.36591042,-1.423454994
D,238,11.64514045,-11.00830893,0.636831526
D,239,13.4749425,-12.57303072,0.901911785
D,240,12.05227726,-11.32322203,0.729055222
E,145,6.012357082,-1.250815197,4.761541885
E,146,7.24119344,-4.481536817,2.759656623
E,147,5.977911689,-2.163943635,3.813968055
E,148,4.050194093,-1.487434798,2.562759295
E,149,5.308249156,-4.738646656,0.5696025
E,151,3.757184409,-1.129094809,2.6280896
E,152,6.255047365,-4.487310863,1.767736503
E,153,9.863788974,-0.933752254,8.93003672
E,154,7.101539509,1.940765484,9.042304994
E,155,4.758985239,-2.886753138,1.872232101
E,156,5.885680348,-1.931623947,3.954056401
E,157,6.91898361,-2.936225872,3.982757738
E,158,8.190557533,-3.733617387,4.456940146
E,159,7.940586372,-3.419931291,4.520655081
E,160,16.22387859,-14.29781615,1.926062438
E,161,4.747515503,-9.25722969,-4.509714187
E,162,7.651570965,-5.194231148,2.457339817
E,163,6.578392677,0.169940484,6.748333161
E,164,9.161064133,-6.1969441,2.964120033
E,165,11.18779405,-3.884921832,7.30287222
E,166,15.87670058,-10.74499183,5.131708751
E,167,16.65463642,-11.44052759,5.21410883
E,168,11.88541605,-10.31864612,1.566769929
E,169,12.75148911,-9.360357983,3.391131132
E,170,11.73706908,-11.97486329,-0.237794209
E,171,8.646545082,-12.09500686,-3.448461778
E,172,12.54223996,-3.860487362,8.681752602
E,173,16.20438457,-18.81591195,-2.611527375
E,174,9.923354057,-15.6854301,-5.762076047
E,175,18.71289021,-10.07465988,8.638230331
E,176,18.16300528,-14.99916237,3.163842907
E,177,7.416239683,-1.705270751,5.710968932
E,178,7.906128752,-10.73141575,-2.825286993
E,179,3.848702393,-5.614441058,-1.765738666
E,180,10.70059444,-5.656245102,5.044349338
E,181,8.000735588,-6.864081123,1.136654466
E,182,9.479247501,-9.893798526,-0.414551025
E,183,6.607523514,-9.372449018,-2.764925504
E,184,6.424626405,-4.709561153,1.715065252
