pond_id,treatment,period,doy,dosat_dailyavg
A,pulsed,PULSE1,209,16.3688865
B,pulsed,PULSE1,209,34.70840692
C,pulsed,PULSE1,209,28.12079852
D,reference,PULSE1,209,26.15752315
E,reference,PULSE1,209,34.77993035
F,reference,PULSE1,209,56.54632658
A,pulsed,PULSE1,210,27.48183319
B,pulsed,PULSE1,210,41.18178427
C,pulsed,PULSE1,210,41.26624994
D,reference,PULSE1,210,27.0616369
E,reference,PULSE1,210,46.45075331
F,reference,PULSE1,210,75.71059806
A,pulsed,PULSE2,211,17.94555538
B,pulsed,PULSE2,211,41.25740713
C,pulsed,PULSE2,211,45.63420585
D,reference,PULSE2,211,23.95866902
E,reference,PULSE2,211,31.50643565
F,reference,PULSE2,211,71.71412404
A,pulsed,PULSE2,212,22.85480046
B,pulsed,PULSE2,212,48.44754035
C,pulsed,PULSE2,212,48.90200002
D,reference,PULSE2,212,27.84630415
E,reference,PULSE2,212,45.95142581
F,reference,PULSE2,212,64.23293454
A,pulsed,PULSE2,213,18.02376296
B,pulsed,PULSE2,213,47.40823106
C,pulsed,PULSE2,213,42.19822415
D,reference,PULSE2,213,29.00140525
E,reference,PULSE2,213,34.16051617
F,reference,PULSE2,213,68.32231723
A,pulsed,PULSE2,214,10.49511754
B,pulsed,PULSE2,214,61.72268779
C,pulsed,PULSE2,214,47.10587396
D,reference,PULSE2,214,19.49909254
E,reference,PULSE2,214,31.56467667
F,reference,PULSE2,214,53.73867833
A,pulsed,PULSE2,215,18.39334196
B,pulsed,PULSE2,215,62.62951152
C,pulsed,PULSE2,215,70.79344996
D,reference,PULSE2,215,31.1679744
E,reference,PULSE2,215,43.94847483
F,reference,PULSE2,215,69.463264
A,pulsed,PULSE2,216,13.8913535
B,pulsed,PULSE2,216,69.01191152
C,pulsed,PULSE2,216,56.05124533
D,reference,PULSE2,216,19.19001556
E,reference,PULSE2,216,25.30006233
F,reference,PULSE2,216,49.71602377
A,pulsed,PULSE2,217,17.79160821
B,pulsed,PULSE2,217,66.00161375
C,pulsed,PULSE2,217,51.90008196
D,reference,PULSE2,217,6.290357604
E,reference,PULSE2,217,28.43548675
F,reference,PULSE2,217,46.73412306
A,pulsed,PULSE2,218,19.39986569
B,pulsed,PULSE2,218,70.03097563
C,pulsed,PULSE2,218,52.41037608
D,reference,PULSE2,218,10.59980002
E,reference,PULSE2,218,29.51788367
F,reference,PULSE2,218,46.41246173
A,pulsed,PULSE2,219,24.01518506
B,pulsed,PULSE2,219,69.23108927
C,pulsed,PULSE2,219,63.63158423
D,reference,PULSE2,219,22.24292
E,reference,PULSE2,219,34.76426465
F,reference,PULSE2,219,47.29803129
A,pulsed,PULSE2,220,27.32128904
B,pulsed,PULSE2,220,77.65533208
C,pulsed,PULSE2,220,76.10591102
D,reference,PULSE2,220,21.71308506
E,reference,PULSE2,220,31.38532767
F,reference,PULSE2,220,36.78284206
A,pulsed,PULSE2,221,41.56802063
B,pulsed,PULSE2,221,84.98212963
C,pulsed,PULSE2,221,95.92179144
D,reference,PULSE2,221,27.77170919
E,reference,PULSE2,221,42.71916704
F,reference,PULSE2,221,50.99039394
A,pulsed,PULSE2,222,55.56409069
B,pulsed,PULSE2,222,81.94921108
C,pulsed,PULSE2,222,90.85742465
D,reference,PULSE2,222,35.91137535
E,reference,PULSE2,222,41.48800863
F,reference,PULSE2,222,49.37987813
A,pulsed,PULSE2,223,47.85079835
B,pulsed,PULSE2,223,64.26253625
C,pulsed,PULSE2,223,70.19714235
D,reference,PULSE2,223,45.23657542
E,reference,PULSE2,223,41.58036969
F,reference,PULSE2,223,43.30573308
A,pulsed,PULSE2,224,48.90732679
