Run,RunDate,sampleID,pondID,doy,TOC_ppb,IC_ppb,flag_IC,TC_ppb
2,1/25/2022 8:48,E20F220,F,220,9500,11700,a,21200
2,1/25/2022 9:16,E20F222,F,222,10100,884,a,11000
2,1/25/2022 9:44,BLANK,,,1340,169,,1510
2,1/25/2022 10:13,E20F224,F,224,20800,249,,21000
2,1/25/2022 10:41,E20F226,F,226,17300,218,,17500
2,1/25/2022 11:09,E20F229,F,229,16000,211,,16200
2,1/25/2022 11:38,E20F231,F,231,16600,219,,16800
2,1/25/2022 12:06,E20F233,F,233,15500,208,,15700
2,1/25/2022 12:34,E20F236,F,234,21100,211,,21300
2,1/25/2022 13:03,E20F238,F,238,15100,209,,15300
2,1/25/2022 13:31,E20F240,F,240,25300,209,,25500
2,1/25/2022 14:00,BLANK,,,277,135,,412
3,1/26/2022 10:45,BLANK,,,19.5,61.5,,81
3,1/26/2022 11:13,BLANK,,,22.4,65.8,,88.2
3,1/26/2022 11:42,E20C143,C,143,5250,237,,5490
3,1/26/2022 12:10,E20C146,C,146,19900,205,,20100
3,1/26/2022 12:38,E20C148,C,148,6400,2540,a,8940
3,1/26/2022 13:07,E20C150,C,150,6410,527,a,6940
3,1/26/2022 13:35,E20C153,C,153,6650,251,,6900
3,1/26/2022 14:03,E20C155,C,155,6510,2610,a,9120
3,1/26/2022 14:32,E20C157,C,157,6480,650,a,7130
3,1/26/2022 15:00,E20C160,C,160,6880,763,a,7640
3,1/26/2022 15:28,E20C162,C,162,6640,270,,6910
3,1/26/2022 15:57,E20C164,C,164,6830,229,,7060
4,2/3/2022 16:20,BLANK,,,184,533,,717
4,2/3/2022 16:48,BLANK,,,9.6,50,,59.6
4,2/3/2022 17:16,E20C167,C,167,7550,577,b,8130
4,2/3/2022 17:45,E20C169,C,169,7400,547,b,7950
4,2/3/2022 18:13,E20C171,C,171,28200,489,b,28700
4,2/3/2022 18:41,E20C174,C,174,15800,524,b,16300
4,2/3/2022 19:10,E20C175,C,175,38100,605,b,38700
4,2/3/2022 19:38,E20C176,C,176,26900,554,b,27500
4,2/3/2022 20:07,E20C177,C,177,22800,518,b,23300
4,2/3/2022 20:35,E20C178,C,178,28300,563,b,28900
4,2/3/2022 21:03,E20C181,C,181,25900,586,b,26500
4,2/3/2022 21:32,E20C183,C,183,14500,511,b,15000
4,2/3/2022 22:00,E20C185,C,185,20600,552,b,21100
4,2/3/2022 22:29,E20C188,C,188,19400,545,b,20000
4,2/3/2022 22:57,E20C190,C,190,32400,456,b,32900
4,2/3/2022 23:25,E20C192,C,192,24700,524,b,25200
4,2/3/2022 23:54,BLANK,,,243,485,b,728
4,2/4/2022 0:22,E20C195,C,195,23000,480,b,23500
4,2/4/2022 0:51,E20C197,C,197,22700,520,b,23200
4,2/4/2022 1:19,E20C199,C,199,29000,558,b,29600
4,2/4/2022 1:47,E20C202,C,202,20800,485,b,21300
4,2/4/2022 2:16,E20C204,C,204,15800,483,b,16300
4,2/4/2022 2:44,E20C206,C,206,21300,518,b,21800
4,2/4/2022 3:12,E20C209,C,209,31500,483,b,32000
4,2/4/2022 3:41,E20C210,C,210,29100,523,b,29600
4,2/4/2022 4:09,E20C211,C,211,18800,468,b,19300
4,2/4/2022 4:38,E20C212,C,212,25200,503,b,25700
4,2/4/2022 5:06,E20C213,C,213,25100,494,b,25600
4,2/4/2022 5:34,E20C216,C,216,19400,483,b,19900
4,2/4/2022 6:03,BLANK,,,470,513,b,983
4,2/4/2022 6:31,E20C218,C,218,15100,605,b,15700
4,2/4/2022 7:00,E20C220,C,220,23400,632,b,24000
4,2/4/2022 7:28,E20C222,C,222,26100,563,b,26600
4,2/4/2022 7:56,E20C224,C,224,28100,615,b,28700
4,2/4/2022 8:25,E20C226,C,226,22900,602,b,23500
4,2/4/2022 8:53,E20C229,C,229,27100,615,b,27700
4,2/4/2022 9:21,E20C231,C,231,17400,604,b,18000
4,2/4/2022 9:50,E20C233,C,233,23000,608,b,23600
4,2/4/2022 10:18,E20C236,C,236,29000,574,b,29600
4,2/4/2022 10:47,E20C238,C,238,16300,578,b,16900
4,2/4/2022 11:15,E20C240,C,240,16700,557,b,17300
4,2/4/2022 11:43,BLANK,,,256,508,b,764
4,2/4/2022 12:12,E20D153,D,153,6090,2780,a,8880
4,2/4/2022 12:40,E20D155,D,155,6600,617,b,7210
4,2/4/2022 13:08,E20D157,D,157,7280,577,b,7850
4,2/4/2022 13:37,E20D160,D,160,16300,574,b,16900
4,2/4/2022 14:05,E20D162,D,162,46200,480,b,46700
4,2/4/2022 14:33,E20D164,D,164,8690,482,b,9170
4,2/4/2022 15:02,E20D167,D,167,8880,588,b,9470
4,2/4/2022 15:30,E20D169,D,169,7430,543,b,7970
4,2/4/2022 15:58,E20D171,D,171,7760,483,b,8240
4,2/4/2022 16:27,E20D174,D,174,7490,506,b,8000
4,2/4/2022 16:55,E20D175,D,175,17000,411,b,17400
4,2/4/2022 17:23,E20D176,D,176,22800,425,b,23200
4,2/4/2022 17:52,BLANK,,,243,467,b,710
4,2/4/2022 18:20,E20D177,D,177,25900,463,b,26400
4,2/4/2022 18:49,E20D178,D,178,20700,494,b,21200
4,2/4/2022 19:17,E20D181,D,181,29400,484,b,29900
4,2/4/2022 19:45,E20D183,D,183,26900,456,b,27400
4,2/4/2022 20:14,E20D185,D,185,20100,513,b,20600
4,2/4/2022 20:42,E20D188,D,188,23500,452,b,23900
4,2/4/2022 21:11,E20D190,D,190,27000,474,b,27500
4,2/4/2022 21:39,E20D192,D,192,21700,501,b,22200
4,2/4/2022 22:07,E20D195,D,195,23700,501,b,24200
4,2/4/2022 22:36,E20D197,D,197,16400,495,b,16900
4,2/4/2022 23:04,E20D199,D,199,19700,495,b,20200
4,2/4/2022 23:32,E20D202,D,202,17800,496,b,18300
4,2/5/2022 0:01,BLANK,,,329,475,b,804
4,2/5/2022 0:29,E20D204,D,204,19700,482,b,20200
4,2/5/2022 0:58,E20D206,D,206,14800,548,b,15400
4,2/5/2022 1:26,E20D209,D,209,25400,540,b,25900
4,2/5/2022 1:54,E20D210,D,210,18800,549,b,19300
4,2/5/2022 2:23,E20D211,D,211,22500,525,b,23000
4,2/5/2022 2:51,E20D212,D,212,20200,524,b,20700
4,2/5/2022 3:19,E20D213,D,213,16700,525,b,17200
4,2/5/2022 3:48,E20D216,D,216,25300,509,b,25800
4,2/5/2022 4:16,E20D218,D,218,41900,549,b,42500
4,2/5/2022 4:44,E20D220,D,220,16700,456,b,17200
4,2/5/2022 5:13,E20D222,D,222,28000,506,b,28500
4,2/5/2022 5:41,E20D224,D,224,30100,535,b,30600
4,2/5/2022 6:10,BLANK,,,348,484,b,832
4,2/5/2022 6:38,E20D226,D,226,28100,607,b,28700
4,2/5/2022 7:07,E20D229,D,229,36900,549,b,37400
4,2/5/2022 7:35,E20D231,D,231,18400,536,b,18900
4,2/5/2022 8:03,E20D233,D,233,27700,533,b,28200
4,2/5/2022 8:32,E20D236,D,236,23700,551,b,24300
4,2/5/2022 9:00,E20D238,D,238,19500,539,b,20000
4,2/5/2022 9:28,E20D240,D,240,25300,535,b,25800
4,2/5/2022 9:57,BLANK,,,259,471,b,730
