"sample_id","pond_id","doy","vial","lot_number","sample_type","run","start_time","end_time","vial_number","toc_ppb","ic_ppb","tc_ppb","run_date","mean_blank_toc_ppb","mean_blank_ic_ppb","mean_blank_tc_ppb","doc_ppb","dic_ppb","dc_ppb"
"B174","B",174,"B174","E20","Sample",1,2022-01-22 22:32:07,2022-01-22 23:00:12,"68",10000,478,10500,"Jan. 21",170.225,81.95,252.5,9829.775,396.05,10247.5
"B175","B",175,"B175","E20","Sample",1,2022-01-22 23:00:25,2022-01-22 23:28:31,"69",25400,203,25600,"Jan. 21",170.225,81.95,252.5,25229.775,121.05,25347.5
"B176","B",176,"B176","E20","Sample",1,2022-01-22 23:28:45,2022-01-22 23:56:55,"70",26600,202,26800,"Jan. 21",170.225,81.95,252.5,26429.775,120.05,26547.5
"B177","B",177,"B177","E20","Sample",1,2022-01-22 23:57:11,2022-01-23 00:25:20,"71",14500,197,14700,"Jan. 21",170.225,81.95,252.5,14329.775,115.05,14447.5
"B178","B",178,"B178","E20","Sample",1,2022-01-23 00:25:34,2022-01-23 00:53:41,"72",15800,200,16000,"Jan. 21",170.225,81.95,252.5,15629.775,118.05,15747.5
"B181","B",181,"B181","E20","Sample",1,2022-01-23 00:53:54,2022-01-23 01:22:01,"73",24300,202,24500,"Jan. 21",170.225,81.95,252.5,24129.775,120.05,24247.5
"B183","B",183,"B183","E20","Sample",1,2022-01-23 01:22:15,2022-01-23 01:50:24,"74",22600,235,22800,"Jan. 21",170.225,81.95,252.5,22429.775,153.05,22547.5
"B185","B",185,"B185","E20","Sample",1,2022-01-23 01:50:37,2022-01-23 02:18:45,"75",15000,207,15200,"Jan. 21",170.225,81.95,252.5,14829.775,125.05,14947.5
"B188","B",188,"B188","E20","Sample",1,2022-01-23 02:18:58,2022-01-23 02:47:06,"76",18000,199,18200,"Jan. 21",170.225,81.95,252.5,17829.775,117.05,17947.5
"B190","B",190,"B190","E20","Sample",1,2022-01-23 02:47:19,2022-01-23 03:15:27,"77",14500,200,14700,"Jan. 21",170.225,81.95,252.5,14329.775,118.05,14447.5
"B192","B",192,"B192","E20","Sample",1,2022-01-23 03:15:40,2022-01-23 03:43:47,"78",18700,201,18900,"Jan. 21",170.225,81.95,252.5,18529.775,119.05,18647.5
"B195","B",195,"B195","E20","Sample",1,2022-01-23 03:44:01,2022-01-23 04:12:09,"79",19100,201,19300,"Jan. 21",170.225,81.95,252.5,18929.775,119.05,19047.5
"B197","B",197,"B197","E20","Sample",1,2022-01-23 04:12:23,2022-01-23 04:40:31,"80",12800,227,13000,"Jan. 21",170.225,81.95,252.5,12629.775,145.05,12747.5
"B199","B",199,"B199","E20","Sample",1,2022-01-23 04:40:47,2022-01-23 05:08:53,"81",32400,202,32600,"Jan. 21",170.225,81.95,252.5,32229.775,120.05,32347.5
"B202","B",202,"B202","E20","Sample",1,2022-01-23 05:09:07,2022-01-23 05:37:18,"82",21300,199,21500,"Jan. 21",170.225,81.95,252.5,21129.775,117.05,21247.5
"B204","B",204,"B204","E20","Sample",1,2022-01-23 05:37:32,2022-01-23 06:05:40,"83",21300,199,21500,"Jan. 21",170.225,81.95,252.5,21129.775,117.05,21247.5
"B206","B",206,"B206","E20","Sample",1,2022-01-23 06:05:54,2022-01-23 06:34:03,"84",25300,202,25500,"Jan. 21",170.225,81.95,252.5,25129.775,120.05,25247.5
